[resume] starting fresh (no snapshot to resume from)
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /root/.netrc.
wandb: Currently logged in as: jasonna24 (jasonna24-) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run yfj17wvz
wandb: Tracking run with wandb version 0.26.1
wandb: Run data is saved locally in /workspace/wandb/run-20260514_022320-yfj17wvz
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run trial3
wandb: ⭐️ View project at https://wandb.ai/jasonna24-/triplane-ae
wandb: 🚀 View run at https://wandb.ai/jasonna24-/triplane-ae/runs/yfj17wvz
[train] latent data_range (p99-p1) = 5.0900
/opt/conda/lib/python3.11/site-packages/torch/nn/modules/transformer.py:382: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  warnings.warn(
[train] exp=trial3  model=TriplaneAE  device=cuda
[train] batches=5000  batch_size=1  epochs=50
[eval] Loading MAISI decoder for image-domain validation...
[load_state] missing=0 unexpected=0
[eval] torch.compile disabled (eval.compile_maisi=false).
[eval] MAISI decoder ready.
[train] AMP mode: bfloat16 autocast (no GradScaler needed)
[epoch 3 step 650]  loss=5.11e-01  l1=5.11e-01  psnr=16.7  cos=0.6187
[epoch 3 step 700]  loss=5.73e-01  l1=5.73e-01  psnr=16.1  cos=0.5193
[epoch 3 step 750]  loss=5.95e-01  l1=5.95e-01  psnr=15.9  cos=0.4757
[epoch 3 step 800]  loss=5.65e-01  l1=5.65e-01  psnr=16.2  cos=0.5207
[epoch 3 step 850]  loss=6.33e-01  l1=6.33e-01  psnr=15.1  cos=0.5566
[epoch 3 step 900]  loss=4.91e-01  l1=4.91e-01  psnr=16.8  cos=0.6641
[epoch 3 step 950]  loss=5.26e-01  l1=5.26e-01  psnr=16.4  cos=0.6153
[epoch 3 step 1000]  loss=5.65e-01  l1=5.65e-01  psnr=16.1  cos=0.5242
[epoch 3 step 1050]  loss=6.23e-01  l1=6.23e-01  psnr=15.2  cos=0.5497
[epoch 3 step 1100]  loss=6.01e-01  l1=6.01e-01  psnr=15.6  cos=0.5650
[epoch 3 step 1150]  loss=5.50e-01  l1=5.50e-01  psnr=16.3  cos=0.5350
[epoch 3 step 1200]  loss=6.01e-01  l1=6.01e-01  psnr=15.4  cos=0.5861
[epoch 3 step 1250]  loss=6.10e-01  l1=6.10e-01  psnr=15.3  cos=0.5728
[epoch 3 step 1300]  loss=6.39e-01  l1=6.39e-01  psnr=14.7  cos=0.5517
[epoch 3 step 1350]  loss=6.09e-01  l1=6.09e-01  psnr=15.5  cos=0.5219
[epoch 3 step 1400]  loss=5.79e-01  l1=5.79e-01  psnr=16.0  cos=0.5137
[epoch 3 step 1450]  loss=5.33e-01  l1=5.33e-01  psnr=16.5  cos=0.5597
[epoch 3 step 1500]  loss=6.16e-01  l1=6.16e-01  psnr=15.3  cos=0.5672
[epoch 3 step 1550]  loss=5.78e-01  l1=5.78e-01  psnr=16.0  cos=0.4919
[epoch 3 step 1600]  loss=6.24e-01  l1=6.24e-01  psnr=15.6  cos=0.4637
[epoch 3 step 1650]  loss=5.39e-01  l1=5.39e-01  psnr=16.3  cos=0.5919
